FIPS,vaccgivenpercaptia,Hesitancy,dosewastedpercapita,vacc_complete,Census2019,vaccnum,UrbRur,demrep,demv,repv,mystate
1073,1.655784552,0.15,0.421181858,92.5,658573,398068,1,Democrate,181688,138843,AL
1075,1.210286128,0.19,0.275479899,92.5,13805,6219,6,Republican,978,6174,AL
1077,1.302300251,0.17,0.469874581,92.5,92729,44421,4,Republican,11915,31721,AL
1079,1.261754343,0.17,0.441835743,92.5,32924,15787,4,Republican,3562,12322,AL
1081,1.114669811,0.14,0.120060532,92.5,164542,68498,4,Republican,27860,42221,AL
1083,1.050588889,0.16,0.281939039,92.5,98915,39450,3,Republican,13672,34640,AL
1085,1.457844952,0.17,3.169751182,92.5,9726,5159,3,Democrate,4972,1836,AL
1087,1.381613903,0.17,0.035919858,92.5,18068,8963,6,Democrate,7108,1541,AL
1089,1.760563569,0.14,0.410024966,92.5,372909,240097,3,Republican,87286,102780,AL
1091,1.493240736,0.18,0.17314319,92.5,18863,10446,6,Democrate,5488,5343,AL
1093,0.981318792,0,0,92.5,29709,11028,6,Republican,1463,12205,AL
1095,1.245489491,0.16,0.237408808,92.5,96774,45412,5,Republican,5943,33191,AL
1097,1.371513274,0.17,0.396924082,92.5,413210,212436,3,Republican,79474,101243,AL
1099,1.205180148,0.17,0.524140259,92.5,20733,9219,6,Republican,4455,6147,AL
1101,1.482449246,0.15,0.316430155,92.5,226486,122665,3,Democrate,64529,33311,AL
